Account,Winnings (ETH),Amount Wagered,ROI,Trades
0x579cb6...,0.17,0.93,18.70%,7
0x80099a...,0.17,0.25,66.70%,1
0x204ee2...,0.17,0.76,22.40%,33
0x2ad19d...,0.17,0.33,52.70%,1
0x534726...,0.17,0.03,589.70%,2
0xd93857...,0.16,0.25,66.70%,3
0x8c5fd0...,0.16,2.21,7.30%,4
0x9723fd...,0.16,0.44,35.10%,2
0x9e72f3...,0.16,1.85,8.40%,2
0x1ca9ff...,0.15,0.2,75%,2
0x64063f...,0.15,0.25,61.30%,1
0x97c00b...,0.15,3.3,4.50%,2
0x11573c...,0.15,8.73,1.80%,33
0x711c87...,0.15,0.75,20.30%,5
0x8b08bb...,0.15,0.05,300%,2
0xb8e3a0...,0.15,0.44,33.30%,1
0x27ef25...,0.15,0.7,20.90%,7
0x4af013...,0.15,0.04,423.10%,4
0x6630a2...,0.14,0.17,81.80%,4
0xfb4cff...,0.14,1.76,8.30%,6
0xd84728...,0.14,0.37,37%,1
0x6c92f1...,0.14,0.77,18.70%,8
0x4dafe7...,0.14,0.09,150%,1
0xc8a92b...,0.14,0.86,16.30%,2
0x1b6ba2...,0.14,0.37,37%,2
0x4e28da...,0.14,0.16,83.80%,1
0x47f7a0...,0.14,0.66,21.20%,3
0x869ec0...,0.13,0.17,77%,2
0x43d7fa...,0.13,0.01,900%,1
0xe1face...,0.13,6.93,1.80%,12
0xd1d2bd...,0.13,1.77,7.40%,5
0x486bb5...,0.13,0.13,100%,1
0xc7df19...,0.13,0.38,33.30%,1
0xe5808e...,0.13,1.07,12.40%,1
0x3416f8...,0.13,0.17,75.40%,1
0xcac736...,0.13,0.67,19.60%,2
0x83b7f6...,0.13,0.42,32.20%,3
0xdaba53...,0.13,0.21,61.40%,4
0xd4be35...,0.13,3.88,3.20%,6
0xb1f32d...,0.13,0.4,33.90%,8
0xf10f8a...,0.13,0.37,35.30%,6
0x13eadd...,0.13,0.22,56.30%,1
0x39ead0...,0.12,0.25,49%,3
0x57364d...,0.12,0.88,13.60%,1
0xf099af...,0.12,0.18,67.40%,9
0x99390b...,0.12,1.88,6.40%,1
0x197a78...,0.12,0.53,22.80%,3
0x9f7dd5...,0.12,0.09,136.10%,2
0x967522...,0.12,1.88,6.40%,1
0x0cd462...,0.12,0.78,15.40%,4
0x65fcb5...,0.11,1,11.10%,1
0x5fba0c...,0.11,0.14,83.50%,1
0x3a1948...,0.11,0.04,264.10%,3
0xdc626e...,0.11,7.89,1.40%,8
0x57bc04...,0.11,0.39,27.20%,3
0xcda7f6...,0.11,0.14,81.80%,1
0xefaa3a...,0.11,69.99,0.20%,4
0xed9259...,0.11,1.68,6.40%,7
0xaa87ea...,0.11,0.89,12.40%,1
0xb4ef67...,0.11,0.19,57.50%,5
0xf1873a...,0.1,0.9,11.20%,3
0x2b555c...,0.1,16.92,0.60%,15
0x51fe13...,0.1,0.1,100%,1
0xfbbfbf...,0.1,0.12,80.30%,3
0x0276de...,0.1,0.4,25.20%,1
0x53d65e...,0.1,0.25,41.80%,2
0x9fa787...,0.1,0.11,90.50%,2
0x87eda2...,0.1,0.1,100%,3
0x47b5ed...,0.1,0.1,100%,1
0x2952fc...,0.1,0.45,21.50%,3
0xe99b11...,0.1,0.1,100%,1
0x22be56...,0.09,0.13,70.10%,5
0x4b1eae...,0.09,0.91,9.90%,3
0x8b46ac...,0.09,0.16,52.70%,2
0xdc00c6...,0.09,2.99,3.10%,7
0x69a594...,0.09,0.41,21.10%,5
0x1db252...,0.09,0.11,81.80%,1
0x27f1e7...,0.09,0.18,46.30%,7
0x9cb9cc...,0.09,0.29,30.60%,6
0xf67120...,0.09,0.09,100%,1
0xf3388d...,0.09,0.21,42.90%,1
0xd12144...,0.09,0.11,83.50%,1
0x2d4a05...,0.09,0.26,35.10%,6
0x861c33...,0.09,0.11,83.20%,2
0x9162a8...,0.09,316.75,0%,124
0xcc1004...,0.09,0.91,9.90%,2
0x051437...,0.09,0.41,21.20%,3
0x3c9923...,0.09,28.96,0.30%,2
0x3e5d54...,0.09,1.42,6.50%,4
0xbf1d40...,0.09,0.06,140.90%,2
0x5725e5...,0.08,24.22,0.40%,108
0xae5a55...,0.08,1.07,7.50%,5
0xb3e62c...,0.08,0.08,100%,1
0x147824...,0.08,0.02,400%,1
0x0cb143...,0.08,1.13,6.70%,2
0x241bfb...,0.08,0.37,22.40%,6
0x87dff9...,0.08,0.18,42.90%,2
0x0045e3...,0.08,0.26,31.50%,4
0x30f1fa...,0.08,0.17,44.60%,2
0x033818...,0.08,2.17,3.70%,3
0xf6866b...,0.08,0.12,65.40%,2
0xec8332...,0.07,0.43,16.30%,2
0xb66503...,0.07,0.23,30.80%,12
0x775323...,0.07,0.04,185.70%,1
0x121667...,0.07,2.22,3.20%,10
0xececaf...,0.07,0.13,48.40%,3
0x341136...,0.07,0.18,40.80%,2
0x77db4e...,0.07,0.13,52.90%,3
0xc37027...,0.07,0.04,185.70%,3
0x6ac756...,0.07,0.93,7.60%,2
0x1e7da3...,0.07,0.93,7.20%,2
0x2de67d...,0.07,0.73,9.10%,3
0xa1e58b...,0.07,0.04,185.70%,1
0xe87e1d...,0.07,0.11,66.90%,1
0xe18c44...,0.07,0.08,83.20%,1
0x0027f6...,0.06,0.05,126.80%,4
0x22904c...,0.06,0.04,150%,1
0x4a2fcc...,0.06,0.06,100%,1
0x56f2ae...,0.06,0.46,12.70%,3
0xb218e8...,0.06,0.14,42.90%,2
0x20cd15...,0.06,0.01,500%,2
0x7f5ee9...,0.06,0.11,56.30%,1
0xe35ef9...,0.06,0.14,42.80%,3
0x3bf479...,0.06,0.04,138.10%,1
0xa808ba...,0.06,0.94,6.40%,1
0xc466c0...,0.06,0.44,14.30%,1
0xc57162...,0.06,0.04,150%,1
0x23a49a...,0.06,10.18,0.60%,5
0x316d9a...,0.06,0.35,17.10%,5
0xd2f35f...,0.06,0.35,17.10%,6
0xce492c...,0.06,0.04,177.80%,1
0xe85e10...,0.06,0.14,42.90%,1
0x2badcd...,0.06,0.05,122.20%,1
0x521bcf...,0.05,0.15,36.10%,4
